Kaynak,Tuketim,Tarih,YIL
Taşkömürü + İthal Kömür,5536.295444999999,2019-01-01,2019
Lignite,3576.39539129,2019-01-01,2019
Liquid Fuels,31.00858715,2019-01-01,2019
Doğal Gaz + LNG,5570.800799423735,2019-01-01,2019
Yenilenebilir + Atık,380.4091334416548,2019-01-01,2019
Termik,15094.90935630539,2019-01-01,2019
Hidrolik,7664.706198289999,2019-01-01,2019
Jeotermal + Rüzgar + Güneş,3298.9854423832503,2019-01-01,2019
Brüt Üretim,26058.60099697864,2019-01-01,2019
Taşkömürü + İthal Kömür,5725.635742,2019-02-01,2019
Lignite,3405.390084,2019-02-01,2019
Liquid Fuels,23.365904,2019-02-01,2019
Doğal Gaz + LNG,3722.2706297412,2019-02-01,2019
Yenilenebilir + Atık,342.3967146867275,2019-02-01,2019
Termik,13219.059074427929,2019-02-01,2019
Hidrolik,7180.144070525,2019-02-01,2019
Jeotermal + Rüzgar + Güneş,3122.922420414283,2019-02-01,2019
Brüt Üretim,23522.12556536721,2019-02-01,2019
Taşkömürü + İthal Kömür,4825.163078,2019-03-01,2019
Lignite,3752.445632,2019-03-01,2019
Liquid Fuels,20.127542,2019-03-01,2019
Doğal Gaz + LNG,4443.479349523556,2019-03-01,2019
Yenilenebilir + Atık,385.3967673497461,2019-03-01,2019
Termik,13426.612368873302,2019-03-01,2019
Hidrolik,7724.998946125,2019-03-01,2019
Jeotermal + Rüzgar + Güneş,3691.963994225177,2019-03-01,2019
Brüt Üretim,24843.57530922348,2019-03-01,2019
Taşkömürü + İthal Kömür,3620.000026,2019-04-01,2019
Lignite,3500.35834,2019-04-01,2019
Liquid Fuels,13.207108000000002,2019-04-01,2019
Doğal Gaz + LNG,3283.170903377388,2019-04-01,2019
Yenilenebilir + Atık,389.4074612660797,2019-04-01,2019
Termik,10806.143838643466,2019-04-01,2019
Hidrolik,9991.92270943,2019-04-01,2019
Jeotermal + Rüzgar + Güneş,3010.2910980654933,2019-04-01,2019
Brüt Üretim,23808.35764613896,2019-04-01,2019
Taşkömürü + İthal Kömür,3363.603512,2019-05-01,2019
Lignite,3596.764445,2019-05-01,2019
Liquid Fuels,28.203967,2019-05-01,2019
Doğal Gaz + LNG,3135.3639130156625,2019-05-01,2019
Yenilenebilir + Atık,405.0926677835731,2019-05-01,2019
Termik,10529.028504799237,2019-05-01,2019
Hidrolik,11607.87476158,2019-05-01,2019
Jeotermal + Rüzgar + Güneş,2876.441095202418,2019-05-01,2019
Brüt Üretim,25013.34436158165,2019-05-01,2019
Taşkömürü + İthal Kömür,4139.524513,2019-06-01,2019
Lignite,3554.212207,2019-06-01,2019
Liquid Fuels,25.68463,2019-06-01,2019
Doğal Gaz + LNG,3182.6211251599,2019-06-01,2019
Yenilenebilir + Atık,377.5338679471636,2019-06-01,2019
Termik,11279.576343107065,2019-06-01,2019
Hidrolik,9618.76852378,2019-06-01,2019
Jeotermal + Rüzgar + Güneş,3359.741019404972,2019-06-01,2019
Brüt Üretim,24258.08588629204,2019-06-01,2019
Taşkömürü + İthal Kömür,6333.118109999999,2019-07-01,2019
Lignite,4460.860925999999,2019-07-01,2019
Liquid Fuels,35.646262,2019-07-01,2019
Doğal Gaz + LNG,6205.880921969319,2019-07-01,2019
Yenilenebilir + Atık,370.0393234245951,2019-07-01,2019
Termik,17405.545543393913,2019-07-01,2019
Hidrolik,7647.224718071,2019-07-01,2019
Jeotermal + Rüzgar + Güneş,3736.893569190962,2019-07-01,2019
Brüt Üretim,28789.663830655874,2019-07-01,2019
Taşkömürü + İthal Kömür,6254.581001999999,2019-08-01,2019
Lignite,4296.369298,2019-08-01,2019
Liquid Fuels,29.519195,2019-08-01,2019
Doğal Gaz + LNG,5422.443301304927,2019-08-01,2019
Yenilenebilir + Atık,380.613363111828,2019-08-01,2019
Termik,16383.526159416751,2019-08-01,2019
Hidrolik,6966.065794550001,2019-08-01,2019
Jeotermal + Rüzgar + Güneş,4363.880547540821,2019-08-01,2019
Brüt Üretim,27713.47250150757,2019-08-01,2019
Taşkömürü + İthal Kömür,6516.360369999999,2019-09-01,2019
Lignite,4006.66049102,2019-09-01,2019
Liquid Fuels,27.10340743,2019-09-01,2019
Doğal Gaz + LNG,5155.164285765231,2019-09-01,2019
Yenilenebilir + Atık,377.4591819136161,2019-09-01,2019
Termik,16082.747736128847,2019-09-01,2019
Hidrolik,5696.944046155,2019-09-01,2019
Jeotermal + Rüzgar + Güneş,3639.013972586568,2019-09-01,2019
Brüt Üretim,25418.70575487041,2019-09-01,2019
Taşkömürü + İthal Kömür,6564.417957000001,2019-10-01,2019
Lignite,4229.49823367,2019-10-01,2019
Liquid Fuels,32.94021043,2019-10-01,2019
Doğal Gaz + LNG,5037.167313332747,2019-10-01,2019
Yenilenebilir + Atık,388.0155163524116,2019-10-01,2019
Termik,16252.03923078516,2019-10-01,2019
Hidrolik,5120.91108,2019-10-01,2019
Jeotermal + Rüzgar + Güneş,2875.695192613912,2019-10-01,2019
Brüt Üretim,24248.64550339907,2019-10-01,2019
Taşkömürü + İthal Kömür,6474.277122,2019-11-01,2019
Lignite,4077.45605746,2019-11-01,2019
Liquid Fuels,37.857156,2019-11-01,2019
Doğal Gaz + LNG,5665.723324653107,2019-11-01,2019
Yenilenebilir + Atık,414.0831695465197,2019-11-01,2019
Termik,16669.396829659625,2019-11-01,2019
Hidrolik,4512.893283675,2019-11-01,2019
Jeotermal + Rüzgar + Güneş,2814.6701467362564,2019-11-01,2019
Brüt Üretim,23996.96026007088,2019-11-01,2019
Taşkömürü + İthal Kömür,6668.928312,2019-12-01,2019
Lignite,4415.807372,2019-12-01,2019
Liquid Fuels,31.34005,2019-12-01,2019
Doğal Gaz + LNG,6464.115071462436,2019-12-01,2019
Yenilenebilir + Atık,413.72801500595807,2019-12-01,2019
Termik,17993.918820468396,2019-12-01,2019
Hidrolik,5090.321469779001,2019-12-01,2019
Jeotermal + Rüzgar + Güneş,3141.7825173355286,2019-12-01,2019
Brüt Üretim,26226.02280758293,2019-12-01,2019
Taşkömürü + İthal Kömür,6639.5705414,2020-01-01,2020
Lignite,3153.98345952,2020-01-01,2020
Liquid Fuels,24.813147996,2020-01-01,2020
Doğal Gaz + LNG,7567.9996916421,2020-01-01,2020
Yenilenebilir + Atık,446.25216697,2020-01-01,2020
Termik,17832.6190075281,2020-01-01,2020
Hidrolik,5480.528118403001,2020-01-01,2020
Jeotermal + Rüzgar + Güneş,3818.726434111446,2020-01-01,2020
Brüt Üretim,27131.873560042543,2020-01-01,2020
Taşkömürü + İthal Kömür,5806.41621967,2020-02-01,2020
Lignite,2982.16062357,2020-02-01,2020
Liquid Fuels,18.065492734000003,2020-02-01,2020
Doğal Gaz + LNG,4960.185073906651,2020-02-01,2020
Yenilenebilir + Atık,423.41363167,2020-02-01,2020
Termik,14190.241041550653,2020-02-01,2020
Hidrolik,7172.732871257689,2020-02-01,2020
Jeotermal + Rüzgar + Güneş,3647.215835509989,2020-02-01,2020
Brüt Üretim,25010.189748318327,2020-02-01,2020
Taşkömürü + İthal Kömür,5217.509368963,2020-03-01,2020
Lignite,2948.24059944,2020-03-01,2020
